shapeGroup,shapeID,shapeISO,shapeName,shapeType,prob0,prob1,prob2,prob3,prob4
AFG,AFG-ADM0-3_0_0-B1,AFG,Afghanistan,ADM0,99.21974977518357,96.09633329457768,85.39757053930903,,
AGO,AGO-ADM0-3_0_0-B1,AGO,Angola,ADM0,98.52061590432382,67.50701305108065,63.03623314881961,94.03929549551674,
ALB,ALB-ADM0-3_0_0-B1,ALB,Albania,ADM0,97.67656315008271,70.68758427968146,58.35377660444125,55.36012892561676,
AND,AND-ADM0-3_0_0-B1,AND,Andorra,ADM0,90.3457800533027,77.51490989358003,,,
ARE,ARE-ADM0-3_0_0-B1,ARE,United Arab Emirates,ADM0,96.4506372691249,94.14078190055847,,,
ARG,ARG-ADM0-3_0_0-B1,ARG,Argentina,ADM0,99.54399467175023,98.95666311348366,97.96826867449795,,
ARM,ARM-ADM0-3_0_0-B1,ARM,Armenia,ADM0,95.12643427701843,91.95312848243887,82.29416647053185,,
ATA,ATA-ADM0-3_0_0-B1,ATA,Antarctica,ADM0,98.38920220469504,,,,
ATG,ATG-ADM0-3_0_0-B1,ATG,Antigua and Barbuda,ADM0,85.9447577019304,65.03058793858284,,,
AUS,AUS-ADM0-3_0_0-B1,AUS,Australia,ADM0,99.71978175576623,99.74073221834173,93.92722413408706,,
AUT,AUT-ADM0-3_0_0-B1,AUT,Austria,ADM0,98.73314411255929,97.66447199733118,96.86765884061974,90.68387482039914,
AZE,AZE-ADM0-3_0_0-B1,AZE,Azerbaijan,ADM0,92.36447834041772,35.98651415277054,82.34953662499005,,
BDI,BDI-ADM0-3_0_0-B1,BDI,Burundi,ADM0,93.99311438330362,89.95708915551263,95.40615296676559,70.75690894795218,
BEL,BEL-ADM0-3_0_0-B1,BEL,Belgium,ADM0,97.97872290180969,61.70629832031112,97.58010432140719,95.14565458862035,88.2163767084536
BEN,BEN-ADM0-3_0_0-B1,BEN,Benin,ADM0,98.69417545105392,97.10225039123021,94.22890400802085,,
BFA,BFA-ADM0-3_0_0-B1,BFA,Burkina Faso,ADM0,99.01070657717128,74.89896771703019,96.82490796987662,94.71378726547785,
BGD,BGD-ADM0-3_0_0-B1,BGD,Bangladesh,ADM0,95.36322687182484,91.6063889032531,98.44398869304723,98.07849455920685,97.12807388490496
BGR,BGR-ADM0-3_0_0-B1,BGR,Bulgaria,ADM0,98.76619983424484,95.17170312219385,92.99935363680991,,
BHR,BHR-ADM0-3_0_0-B1,BHR,Bahrain,ADM0,80.98713382473953,60.15880776779235,,,
BHS,BHS-ADM0-3_0_0-B1,BHS,Bahamas,ADM0,81.04297897125768,81.6560383100084,,,
BIH,BIH-ADM0-3_0_0-B1,BIH,Bosnia and Herzegovina,ADM0,97.68803940810349,61.55632974184076,22.08916729749391,,
BLR,BLR-ADM0-3_0_0-B1,BLR,Belarus,ADM0,98.59964711321166,97.04000056740334,88.01529328269066,,
BLZ,BLZ-ADM0-3_0_0-B1,BLZ,Belize,ADM0,97.2667204278404,95.33129442511989,,,
BOL,BOL-ADM0-3_0_0-B1,BOL,Bolivia (Plurinational State *,ADM0,98.86397795010566,97.4205410418713,89.90846435041524,93.69361784260371,
